,target_id,pval_RNA_wt_log,pval_RNA_wt_stationary
66,lcl|NC_014931.1_cds_WP_007837741.1_4010,0.505760556,0.038844772
67,lcl|NC_014931.1_cds_WP_007837763.1_4019,0.359936795,0.707913965
68,lcl|NC_014931.1_cds_WP_007837783.1_4025,1.22E-08,3.11E-14
69,lcl|NC_014931.1_cds_WP_007838118.1_5598,4.41E-34,3.60E-08
70,lcl|NC_014931.1_cds_WP_007838129.1_5593,1.97E-27,2.78E-05
71,lcl|NC_014931.1_cds_WP_007838132.1_5591,8.93E-22,0.001986293
72,lcl|NC_014931.1_cds_WP_007838134.1_5590,1.63E-22,0.000765886
73,lcl|NC_014931.1_cds_WP_007838137.1_5588,2.69E-16,0.016330027
74,lcl|NC_014931.1_cds_WP_007838304.1_5233,0.164934352,0.420508629
75,lcl|NC_014931.1_cds_WP_007838397.1_5228,0.000591167,0.545160808
76,lcl|NC_014931.1_cds_WP_007839295.1_2614,0.004698596,0.007695854
77,lcl|NC_014931.1_cds_WP_009124818.1_5771,9.93E-19,0.000371762
78,lcl|NC_014931.1_cds_WP_009124825.1_5766,1.98E-09,0.00483982
79,lcl|NC_014931.1_cds_WP_009124827.1_5764,6.21E-09,0.031839835
80,lcl|NC_014931.1_cds_WP_012746613.1_1627,0.866587261,0.092523837
81,lcl|NC_014931.1_cds_WP_012747279.1_3731,7.50E-06,2.21E-05
82,lcl|NC_014931.1_cds_WP_013538471.1_1,0.284280108,0.000350488
83,lcl|NC_014931.1_cds_WP_013538472.1_2,4.98E-09,1.57E-10
84,lcl|NC_014931.1_cds_WP_013538473.1_3,0.009269905,0.003618869
85,lcl|NC_014931.1_cds_WP_013538474.1_4,0.000256252,0.455956545
86,lcl|NC_014931.1_cds_WP_013538475.1_5,0.051088663,0.590621867
87,lcl|NC_014931.1_cds_WP_013538476.1_6,0.092904042,4.82E-22
88,lcl|NC_014931.1_cds_WP_013538477.1_7,1.08E-14,1.54E-25
89,lcl|NC_014931.1_cds_WP_013538479.1_9,1.47E-18,1.06E-15
90,lcl|NC_014931.1_cds_WP_013538480.1_10,0.085494918,0.126295793
91,lcl|NC_014931.1_cds_WP_013538482.1_12,0.255121785,0.046485665
92,lcl|NC_014931.1_cds_WP_013538483.1_13,0.003873744,0.000360304
93,lcl|NC_014931.1_cds_WP_013538484.1_14,0.021044264,0.604929133
94,lcl|NC_014931.1_cds_WP_013538485.1_15,8.09E-05,0.003843735
95,lcl|NC_014931.1_cds_WP_013538486.1_16,0.957223004,0.366679791
96,lcl|NC_014931.1_cds_WP_013538488.1_18,3.75E-11,3.92E-10
97,lcl|NC_014931.1_cds_WP_013538489.1_19,0.122499023,0.474408432
98,lcl|NC_014931.1_cds_WP_013538491.1_21,1.97E-05,0.00034679
99,lcl|NC_014931.1_cds_WP_013538492.1_22,6.42E-08,9.70E-07
100,lcl|NC_014931.1_cds_WP_013538493.1_23,6.62E-26,6.49E-34
101,lcl|NC_014931.1_cds_WP_013538494.1_24,1.89E-09,1.21E-14
102,lcl|NC_014931.1_cds_WP_013538495.1_25,0.005989833,0.004355951
103,lcl|NC_014931.1_cds_WP_013538496.1_26,5.34E-20,2.63E-08
104,lcl|NC_014931.1_cds_WP_013538497.1_27,0.006971978,0.018142821
105,lcl|NC_014931.1_cds_WP_013538498.1_28,0.415855987,5.51E-06
106,lcl|NC_014931.1_cds_WP_013538499.1_29,1.57E-09,0.972226801
107,lcl|NC_014931.1_cds_WP_013538500.1_30,5.06E-06,0.083138025
108,lcl|NC_014931.1_cds_WP_013538501.1_31,0.88564326,0.000309017
109,lcl|NC_014931.1_cds_WP_013538502.1_32,0.448833253,4.18E-06
110,lcl|NC_014931.1_cds_WP_013538503.1_33,0.431995061,1.82E-05
111,lcl|NC_014931.1_cds_WP_013538504.1_34,0.355180464,0.023384212
112,lcl|NC_014931.1_cds_WP_013538505.1_35,7.43E-10,0.018837247
113,lcl|NC_014931.1_cds_WP_013538506.1_36,1.25E-15,0.010474272
114,lcl|NC_014931.1_cds_WP_013538507.1_37,3.26E-10,0.010988316
115,lcl|NC_014931.1_cds_WP_013538508.1_38,1.54E-16,0.386657837
116,lcl|NC_014931.1_cds_WP_013538509.1_39,9.79E-12,2.35E-09
117,lcl|NC_014931.1_cds_WP_013538510.1_40,0.231581367,0.635034214
118,lcl|NC_014931.1_cds_WP_013538511.1_41,0.000436366,4.52E-08
119,lcl|NC_014931.1_cds_WP_013538512.1_42,0.022069185,1.13E-06
120,lcl|NC_014931.1_cds_WP_013538513.1_43,0.020188787,0.50573942
121,lcl|NC_014931.1_cds_WP_013538514.1_44,6.95E-15,1.75E-06
122,lcl|NC_014931.1_cds_WP_013538515.1_45,0.137543593,0.000403152
123,lcl|NC_014931.1_cds_WP_013538516.1_46,0.83072163,4.57E-10
124,lcl|NC_014931.1_cds_WP_013538517.1_47,0.832370341,0.000794252
125,lcl|NC_014931.1_cds_WP_013538518.1_48,0.174929092,0.806504097
126,lcl|NC_014931.1_cds_WP_013538519.1_50,0.26345495,0.642122331
127,lcl|NC_014931.1_cds_WP_013538520.1_51,5.25E-06,0.003500242
128,lcl|NC_014931.1_cds_WP_013538521.1_52,2.35E-05,1.62E-06
129,lcl|NC_014931.1_cds_WP_013538522.1_53,0.693561935,5.39E-05
130,lcl|NC_014931.1_cds_WP_013538523.1_54,0.509884119,0.000376711
131,lcl|NC_014931.1_cds_WP_013538524.1_55,0.012698769,0.066713632
132,lcl|NC_014931.1_cds_WP_013538525.1_56,0.008177487,0.003307065
133,lcl|NC_014931.1_cds_WP_013538526.1_57,9.23E-05,8.62E-07
134,lcl|NC_014931.1_cds_WP_013538527.1_58,0.000571798,7.12E-05
135,lcl|NC_014931.1_cds_WP_013538528.1_59,0.054740483,0.196168138
136,lcl|NC_014931.1_cds_WP_013538529.1_60,0.017318305,1.00E-08
137,lcl|NC_014931.1_cds_WP_013538530.1_61,2.29E-06,2.23E-34
138,lcl|NC_014931.1_cds_WP_013538532.1_63,0.098242967,0.000511597
139,lcl|NC_014931.1_cds_WP_013538533.1_64,9.25E-05,4.35E-08
140,lcl|NC_014931.1_cds_WP_013538534.1_65,9.93E-05,2.88E-06
141,lcl|NC_014931.1_cds_WP_013538535.1_66,0.63968889,1.14E-07
142,lcl|NC_014931.1_cds_WP_013538536.1_67,0.009493139,0.004547893
143,lcl|NC_014931.1_cds_WP_013538537.1_68,9.22E-13,1.68E-15
144,lcl|NC_014931.1_cds_WP_013538539.1_69,2.19E-05,2.08E-08
145,lcl|NC_014931.1_cds_WP_013538540.1_70,0.877011729,1.29E-08
146,lcl|NC_014931.1_cds_WP_013538541.1_71,0.013631263,9.22E-07
147,lcl|NC_014931.1_cds_WP_013538542.1_72,0.000107232,1.24E-12
148,lcl|NC_014931.1_cds_WP_013538543.1_73,0.73904323,0.136946018
149,lcl|NC_014931.1_cds_WP_013538544.1_74,0.526735129,0.760762803
150,lcl|NC_014931.1_cds_WP_013538545.1_75,0.977552189,5.74E-07
151,lcl|NC_014931.1_cds_WP_013538546.1_76,0.092377365,0.000239733
152,lcl|NC_014931.1_cds_WP_013538547.1_77,0.000842237,3.51E-06
153,lcl|NC_014931.1_cds_WP_013538548.1_78,0.100363678,1.82E-07
154,lcl|NC_014931.1_cds_WP_013538549.1_79,0.395142362,0.833208819
155,lcl|NC_014931.1_cds_WP_013538551.1_80,0.46372993,0.022551121
156,lcl|NC_014931.1_cds_WP_013538552.1_81,0.000620556,0.080047706
157,lcl|NC_014931.1_cds_WP_013538553.1_82,7.43E-09,0.125486453
158,lcl|NC_014931.1_cds_WP_013538554.1_83,0.039207486,0.611697021
159,lcl|NC_014931.1_cds_WP_013538556.1_85,0.221127611,0.058208166
160,lcl|NC_014931.1_cds_WP_013538557.1_86,0.265714835,0.862751322
161,lcl|NC_014931.1_cds_WP_013538559.1_88,0.000197743,0.273481614
162,lcl|NC_014931.1_cds_WP_013538560.1_89,3.88E-07,0.012858232
163,lcl|NC_014931.1_cds_WP_013538561.1_90,0.906532831,0.44914568
164,lcl|NC_014931.1_cds_WP_013538562.1_91,0.637790715,0.274445152
165,lcl|NC_014931.1_cds_WP_013538563.1_92,0.142504902,0.000225756
166,lcl|NC_014931.1_cds_WP_013538564.1_93,0.440988276,0.195573331
167,lcl|NC_014931.1_cds_WP_013538565.1_94,0.976545925,0.38486846
168,lcl|NC_014931.1_cds_WP_013538566.1_95,0.452662989,0.902400101
169,lcl|NC_014931.1_cds_WP_013538568.1_97,0.003819529,0.251921944
170,lcl|NC_014931.1_cds_WP_013538569.1_98,1.36E-08,0.218916107
171,lcl|NC_014931.1_cds_WP_013538570.1_99,4.51E-15,5.03E-08
172,lcl|NC_014931.1_cds_WP_013538571.1_100,1.16E-47,1.08E-22
173,lcl|NC_014931.1_cds_WP_013538572.1_101,4.14E-49,2.09E-21
174,lcl|NC_014931.1_cds_WP_013538573.1_102,6.77E-24,5.16E-13
175,lcl|NC_014931.1_cds_WP_013538574.1_103,2.33E-05,1.78E-07
176,lcl|NC_014931.1_cds_WP_013538575.1_104,5.48E-29,3.76E-23
177,lcl|NC_014931.1_cds_WP_013538576.1_105,1.91E-10,4.49E-06
178,lcl|NC_014931.1_cds_WP_013538577.1_106,2.29E-12,1.10E-05
179,lcl|NC_014931.1_cds_WP_013538578.1_107,2.73E-32,6.36E-23
180,lcl|NC_014931.1_cds_WP_013538579.1_108,4.20E-72,2.01E-35
181,lcl|NC_014931.1_cds_WP_013538580.1_109,7.17E-15,7.28E-08
182,lcl|NC_014931.1_cds_WP_013538581.1_110,0.00026255,0.000584677
183,lcl|NC_014931.1_cds_WP_013538582.1_111,0.00470954,0.555247225
184,lcl|NC_014931.1_cds_WP_013538583.1_112,0.183042544,0.003621213
185,lcl|NC_014931.1_cds_WP_013538584.1_113,5.30E-21,0.06161076
186,lcl|NC_014931.1_cds_WP_013538585.1_114,0.00334367,0.00049503
187,lcl|NC_014931.1_cds_WP_013538586.1_115,0.000111603,0.193307411
188,lcl|NC_014931.1_cds_WP_013538587.1_116,0.00082808,0.34072421
189,lcl|NC_014931.1_cds_WP_013538589.1_118,4.93E-05,0.096062929
