target_id,pval_significant_25_wt,qval_significant_25_wt,b_significant_25_wt,pval_significant_30_wt,qval_significant_30_wt,b_significant_30_wt,pval_significant_RNA_wt,qval_significant_RNA_wt,b_significant_RNA_wt
lcl|NC_014931.1_cds_WP_007830293.1_1382,1.00E-20,1.71E-19,-0.763186044,1.34E-23,4.25E-22,-2.241698468,1.17E-13,1.10E-12,0.641252192
lcl|NC_014931.1_cds_WP_007830466.1_1527,5.16E-13,5.14E-12,-0.713907849,2.46E-09,1.47E-08,-1.948720016,5.84E-07,2.63E-06,-0.465060786
lcl|NC_014931.1_cds_WP_007830471.1_1532,2.37E-10,1.89E-09,-0.575940172,9.15E-14,9.87E-13,-1.767303521,2.82E-07,1.35E-06,-0.602687211
lcl|NC_014931.1_cds_WP_007830705.1_1970,NA,NA,NA,5.43E-11,4.10E-10,-1.338389822,NA,NA,NA
lcl|NC_014931.1_cds_WP_007830775.1_2083,3.21E-09,2.25E-08,-0.401994318,2.48E-11,1.98E-10,-2.005884486,1.23E-06,5.25E-06,0.446754861
lcl|NC_014931.1_cds_WP_007830781.1_2085,0.006722652,0.017504875,-0.163121349,5.89E-49,1.21E-46,-3.074159243,1.71E-12,1.48E-11,0.994407644
lcl|NC_014931.1_cds_WP_007830801.1_2094,5.44E-12,4.99E-11,-0.474833247,NA,NA,NA,0.006939182,0.014915396,-0.512733841
lcl|NC_014931.1_cds_WP_007831049.1_636,1.83E-14,2.05E-13,-0.45357752,7.27E-15,8.80E-14,-2.331391955,2.41E-22,4.17E-21,0.839378871
lcl|NC_014931.1_cds_WP_007831346.1_1611,NA,NA,NA,9.92E-09,5.50E-08,-2.181881185,NA,NA,NA
lcl|NC_014931.1_cds_WP_007832497.1_3940,0.011336804,0.027925181,-0.186996527,5.93E-05,1.85E-04,-1.831537265,1.26E-14,1.27E-13,0.690752913
lcl|NC_014931.1_cds_WP_007832499.1_3939,NA,NA,NA,4.29E-06,1.62E-05,-2.036732389,9.42E-18,1.22E-16,1.000850902
lcl|NC_014931.1_cds_WP_007833691.1_4052,NA,NA,NA,9.36E-15,1.12E-13,-1.776057103,5.51E-05,1.82E-04,-1.085249765
lcl|NC_014931.1_cds_WP_007834827.1_6033,1.21E-12,1.17E-11,-0.708528787,1.71E-10,1.19E-09,-1.29440534,1.47E-04,4.44E-04,-0.338363142
lcl|NC_014931.1_cds_WP_007836652.1_2496,NA,NA,NA,4.32E-04,0.0011581,1.353981718,NA,NA,NA
lcl|NC_014931.1_cds_WP_007836661.1_2500,7.17E-07,3.88E-06,-0.411636087,1.69E-34,1.24E-32,-2.564521036,NA,NA,NA
