target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_014931.1_cds_WP_013543692.1_5334,0,0,4.251860901,0.076300033,7.301243453,5.430482371,0.003258947,0.005473595,0.004931742,0.005473595
lcl|NC_014931.1_cds_WP_013543826.1_5470,0,0,-3.436069611,0.089177968,7.967953791,3.551515563,7.20E-04,0.011208655,0.004872016,0.011208655
lcl|NC_014931.1_cds_WP_013543755.1_5398,2.72E-290,5.38E-287,-2.200580175,0.060435106,8.346357374,1.45561529,3.25E-04,0.003237168,0.005154073,0.005154073
lcl|NC_014931.1_cds_WP_013539002.1_534,2.02E-275,3.00E-272,-2.968635101,0.083717418,6.40439548,2.652248636,0.003339007,0.007173902,0.006501959,0.007173902
lcl|NC_014931.1_cds_WP_013542315.1_3914,1.83E-246,2.17E-243,-4.309287823,0.128524777,5.498593084,5.573908678,0.014646797,-0.010996529,0.010131131,0.010131131
lcl|NC_014931.1_cds_WP_013541818.1_3407,8.31E-234,8.22E-231,1.995778481,0.061128559,7.741209181,1.198064646,7.91E-04,0.003115541,0.004814189,0.004814189
lcl|NC_014931.1_cds_WP_013543152.1_4780,1.84E-203,1.56E-200,-3.036475213,0.099766104,5.800222578,2.773158421,0.006248875,0.002631006,0.008681039,0.008681039
lcl|NC_014931.1_cds_WP_013544186.1_5850,1.64E-192,1.22E-189,1.814091095,0.061293364,7.63986798,0.990085874,8.21E-04,0.00268889,0.004814299,0.004814299
lcl|NC_014931.1_cds_WP_013539802.1_1340,5.07E-188,3.34E-185,-1.891175911,0.064664748,7.635655915,1.077981733,6.28E-04,0.005644277,0.00481465,0.005644277
lcl|NC_014931.1_cds_WP_013542989.1_4612,2.03E-185,1.20E-182,2.848107251,0.098073617,5.928780766,2.443406113,0.006294766,0.006069784,0.008132885,0.008132885
lcl|NC_014931.1_cds_WP_013543346.1_4977,9.04E-178,4.87E-175,3.070675649,0.10801481,7.126800688,2.842715321,0.002559134,0.014941665,0.005065219,0.014941665
lcl|NC_014931.1_cds_WP_013543600.1_5241,1.08E-173,5.32E-171,-2.93835895,0.104580453,6.615994207,2.603310481,0.002184177,0.01422143,0.005936115,0.01422143
lcl|NC_014931.1_cds_WP_013543146.1_4774,3.35E-159,1.53E-156,-3.094044645,0.115087408,6.052856942,2.887827813,0.004801137,0.01506653,0.00764932,0.01506653
lcl|NC_014931.1_cds_WP_013540670.1_2235,3.86E-157,1.64E-154,2.395253056,0.089684987,9.518890328,1.730823236,1.80E-04,0.011885193,0.007963814,0.011885193
lcl|NC_014931.1_cds_WP_013542089.1_3677,5.99E-150,2.37E-147,-3.026013185,0.116023548,5.470340687,2.763180496,0.008851048,0.011341148,0.010280461,0.011341148
lcl|NC_014931.1_cds_WP_013538694.1_224,1.04E-143,3.87E-141,1.84164986,0.072151266,6.772702441,1.021415447,0.002222639,0.002668842,0.005586068,0.005586068
lcl|NC_014931.1_cds_WP_013538599.1_128,2.31E-141,8.05E-139,2.248330466,0.088821839,6.66019413,1.525964148,0.002387185,0.009446794,0.005830847,0.009446794
lcl|NC_014931.1_cds_WP_013542298.1_3892,3.18E-131,1.05E-128,-2.220869147,0.091113806,5.87833357,1.48636988,0.004110422,0.004254513,0.008342166,0.008342166
lcl|NC_014931.1_cds_WP_013543351.1_4981,1.58E-128,4.92E-126,2.658308073,0.11021597,5.558117916,2.131238323,0.008394788,0.005677437,0.009826552,0.009826552
lcl|NC_014931.1_cds_WP_013541772.1_3361,7.65E-127,2.27E-124,-2.0504276,0.085584691,6.025463985,1.267712391,0.003234783,0.004810702,0.007752326,0.007752326
lcl|NC_014931.1_cds_WP_013543717.1_5359,2.33E-126,6.58E-124,2.002721599,0.083755983,6.218898385,1.206883264,0.003453537,0.001065366,0.00706906,0.00706906
lcl|NC_014931.1_cds_WP_013540837.1_2403,1.98E-125,5.34E-123,-2.913740028,0.122313528,7.00987566,2.564917004,0.001764336,0.020676563,0.005191941,0.020676563
lcl|NC_014931.1_cds_WP_013543713.1_5355,5.30E-123,1.37E-120,2.054159371,0.087090418,6.130320016,1.266811052,0.004007813,-0.002833019,0.007369298,0.007369298
lcl|NC_014931.1_cds_WP_013541206.1_2784,2.95E-120,7.30E-118,-2.683834457,0.115100123,5.563231237,2.176787863,0.006917269,0.012954788,0.009800953,0.012954788
lcl|NC_014931.1_cds_WP_013543859.1_5503,3.39E-118,8.04E-116,1.91865788,0.083010315,6.370695781,1.111954747,0.003735823,0.005739588,0.006600245,0.006600245
lcl|NC_014931.1_cds_WP_013539780.1_1318,8.19E-118,1.87E-115,3.31241625,0.143547914,5.980944392,3.316357627,0.009979893,0.020929113,0.007924245,0.020929113
lcl|NC_014931.1_cds_WP_013542128.1_3717,2.19E-116,4.81E-114,-1.379852576,0.060169581,7.558065088,0.574080934,6.05E-04,0.002999232,0.004826057,0.004826057
lcl|NC_014931.1_cds_WP_013543603.1_5244,4.67E-116,9.90E-114,-2.211310685,0.096564842,5.968379223,1.478158206,0.003929459,0.010057694,0.007973788,0.010057694
lcl|NC_014931.1_cds_WP_013543754.1_5397,6.44E-113,1.32E-110,-1.901399335,0.08419797,6.102709102,1.086209082,0.003166731,-0.001150165,0.007467216,0.007467216
lcl|NC_014931.1_cds_WP_013538825.1_355,2.00E-112,3.95E-110,3.134278612,0.139101006,5.347695498,2.966416846,0.018049739,0.006082912,0.010973896,0.010973896
lcl|NC_014931.1_cds_WP_013540332.1_1887,1.18E-110,2.27E-108,-1.319319504,0.059027693,8.011918351,0.52499779,3.34E-04,0.003186987,0.004892634,0.004892634
lcl|NC_014931.1_cds_WP_013543602.1_5243,1.48E-109,2.74E-107,-2.628045441,0.118179064,5.115111526,2.083852214,0.008406202,0.006425501,0.012543235,0.012543235
lcl|NC_014931.1_cds_WP_013538696.1_226,1.17E-108,2.10E-106,2.023748553,0.091387061,6.01942351,1.231560398,0.004752069,-0.001135898,0.007775323,0.007775323
lcl|NC_014931.1_cds_WP_013541409.1_2993,2.72E-108,4.75E-106,-2.252111381,0.101874568,6.281484438,1.534055816,0.00277662,0.012791021,0.00686944,0.012791021
lcl|NC_014931.1_cds_WP_013539384.1_917,1.12E-107,1.90E-105,-4.217500766,0.191333815,5.583912547,5.380124169,0.015874572,0.039038371,0.009698229,0.039038371
lcl|NC_014931.1_cds_WP_013539782.1_1320,1.94E-106,3.20E-104,3.449657226,0.157423609,5.346841289,3.599779125,0.017880055,0.019293234,0.010979026,0.019293234
lcl|NC_014931.1_cds_WP_013543337.1_4968,1.98E-104,3.17E-102,1.499568747,0.069099429,7.014138293,0.680341605,0.001343925,0.005818172,0.005186506,0.005818172
lcl|NC_014931.1_cds_WP_013543151.1_4779,3.84E-103,5.99E-101,-2.58923685,0.120067125,5.224538247,2.020285022,0.00985839,0.001442589,0.011765782,0.011765782
lcl|NC_014931.1_cds_WP_013539779.1_1317,2.82E-102,4.28E-100,2.067134576,0.09626909,5.827848008,1.289724417,0.005342496,0.004421016,0.00855911,0.00855911
lcl|NC_014931.1_cds_WP_013542990.1_4613,1.59E-96,2.36E-94,2.89684079,0.138950816,7.938987288,2.540674765,0.00105318,0.027907814,0.004860118,0.027907814
lcl|NC_014931.1_cds_WP_167330533.1_49,7.66E-95,1.11E-92,-2.854787051,0.138167816,4.873512241,2.447008815,0.014130351,-0.011547748,0.014505167,0.014505167
lcl|NC_014931.1_cds_WP_013539214.1_747,1.33E-94,1.88E-92,-2.4763742,0.120008901,5.196950326,1.857011318,0.008462861,0.013140343,0.01195599,0.013140343
lcl|NC_014931.1_cds_WP_013539163.1_697,2.50E-92,3.45E-90,-2.505571421,0.122940689,5.356526866,1.901503739,0.006539451,0.016132168,0.010921132,0.016132168
lcl|NC_014931.1_cds_WP_013540389.1_1944,2.87E-92,3.87E-90,-1.409900081,0.069202648,7.38021539,0.602092279,7.23E-04,0.006460371,0.004887975,0.006460371
lcl|NC_014931.1_cds_WP_013543349.1_4979,1.79E-89,2.36E-87,2.756513276,0.137440887,5.15693424,2.293149943,0.016096268,9.54E-04,0.012238728,0.012238728
lcl|NC_014931.1_cds_WP_013542950.1_4570,1.87E-89,2.41E-87,-1.188053358,0.059243037,7.873365646,0.42743676,4.27E-04,0.004567879,0.004838078,0.004838078
